Source : 日本民営鉄道協会　駅と電車内の迷惑行為ランキング,https://www.mintetsu.or.jp/activity/enquete/index.html,,
File URl:,https://github.com/ggcurrs/data/blob/master/mintetsu-enquete.csv,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
YEAR,ITEM,CATEGORY(by GGCS),PERCENT
YR2006,2006.10.1 - 11.30,c.a. 700,NaN
YR2007,2007.10.15 - 12.14,2078,NaN
YR2008,2008.10.1 - 11.30,813,NaN
YR2009,2009.10.1 - 11.30,4247,複数回答（最大３つまで）
YR2010,2010.10.1 - 11.30,2527,複数回答（最大３つまで）
YR2011,2011.10.1 - 11.30,2799,複数回答（最大３つまで）
YR2012,2012.10.1 - 11.30,2467,複数回答（最大３つまで）
YR2013,2013.10.1 - 11.30,2913,複数回答（最大３つまで）
YR2014,2014.10.1 - 11.30,3135,複数回答（最大３つまで）
YR2015,2015.10.1 - 11.30,2105,複数回答（最大３つまで）
YR2016,2016.10.1 - 11.30,2899,複数回答（最大３つまで）
YR2017,2017.10.1 - 11.30,2419,複数回答（最大３つまで）
YR2018,2018.10.1 - 11.30,2686,複数回答（最大３つまで）
